Numer okręgu,Siedziba OKW,Numer listy,Nazwa,Typ,Numer na liście,Nazwisko,Imiona,Płeć,Zawód,Miejscowość zamieszkania,Kod TERYT,Gmina miejsca zamieszkania,Przynależność do partii,Poparcie,Liczba głosów,Procent głosów oddanych na listę,Procent głosów oddanych w okręgu,Czy przyznano mandat
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,1,OCHOJSKA-OKOŃSKA,Janina Maria,Kobieta,pracownik humanitarny,Kraków,126101,m. Kraków,nie należy do partii politycznej,,307227,"53,49","23,47",Tak
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,2,DUDA,Jarosław,Mężczyzna,senator,Wrocław,026401,m. Wrocław,członek partii politycznej: Platforma Obywatelska RP,,77611,"13,51","5,93",Tak
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,3,SEKUŁA-SZMAJDZIŃSKA,Małgorzata Helena,Kobieta,adwokat,Warszawa,146516,Wilanów,członek partii politycznej: Sojusz Lewicy Demokratycznej,,63029,"10,97","4,81",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,4,BUŁA,Andrzej,Mężczyzna,urzędnik samorządowy,Kluczbork,160402,gm. Kluczbork,członek partii politycznej: Platforma Obywatelska RP,,58865,"10,25","4,50",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,5,ROKICKA,Julia Agata,Kobieta,politolog,Wrocław,026401,m. Wrocław,członek partii politycznej: Partia Zieloni,,9775,"1,70","0,75",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,6,MRZYGŁOCKA,Izabela Katarzyna,Kobieta,ekonomista,Wałbrzych,026501,m. Wałbrzych,członek partii politycznej: Platforma Obywatelska RP,,14360,"2,50","1,10",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,7,KOZAKIEWICZ,Władysław,Mężczyzna,nauczyciel,Leszno,306301,m. Leszno,nie należy do partii politycznej,,13177,"2,29","1,01",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,8,STĘPIEŃ,Elżbieta Krystyna,Kobieta,ekonomista,Kunice,020904,gm. Kunice,nie należy do partii politycznej,,6936,"1,21","0,53",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,9,PROROK,Genowefa Katarzyna,Kobieta,urzędnik samorządowy,Brzeg,160101,m. Brzeg,nie należy do partii politycznej,,3579,"0,62","0,27",Nie
12,Wrocław,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,10,MIESZKOWSKI,Krzysztof,Mężczyzna,poseł zawodowy,Wrocław,026401,m. Wrocław,członek partii politycznej: Nowoczesna,,19838,"3,45","1,52",Nie
12,Wrocław,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,1,ZALEWSKA,Anna Elżbieta,Kobieta,parlamentarzysta,Świebodzice,021902,m. Świebodzice,członek partii politycznej: Prawo i Sprawiedliwość,,168337,"33,21","12,86",Tak
12,Wrocław,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,2,KEMPA,Beata Agnieszka,Kobieta,parlamentarzysta,Syców,021407,gm. Syców,członek partii politycznej: Solidarna Polska,,209305,"41,29","15,99",Tak
12,Wrocław,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,3,KŁOSOWSKI,Sławomir,Mężczyzna,nauczyciel,Opole,166101,m. Opole,członek partii politycznej: Prawo i Sprawiedliwość,,28610,"5,64","2,19",Nie
